City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,isangel,-19.55,169.2667,78.18800000000005,81,31,3.79,VU,2023-04-22 13:07:41
212,timaru,-44.4,171.25,51.08000000000004,97,3,2.24,NZ,2023-04-22 13:07:42
213,dover,39.1582,-75.5244,78.09800000000003,51,40,6.69,US,2023-04-22 13:07:17
214,nemuro,43.3236,145.575,37.022000000000034,75,12,6.72,JP,2023-04-22 13:07:42
215,tarko-sale,64.9225,77.785,34.34000000000002,98,100,7.02,RU,2023-04-22 13:07:42
216,vorkuta,67.5,64.0,26.906000000000027,96,98,5.14,RU,2023-04-22 13:07:43
217,zharkent,44.1628,80.0,48.596000000000046,22,1,2.88,KZ,2023-04-22 13:07:43
218,geraldton,-28.7667,114.6,64.81400000000004,42,11,5.14,AU,2023-04-22 13:07:26
219,irbit,57.6705,63.071,46.05800000000001,88,100,2.69,RU,2023-04-22 13:07:43
220,alice springs,-23.7,133.8833,51.35,76,0,2.57,AU,2023-04-22 13:03:50
221,bayanhongor,46.7167,100.1167,28.43600000000007,31,31,1.64,MN,2023-04-22 13:07:44
222,lebu,-37.6167,-73.65,59.0,74,1,6.94,CL,2023-04-22 13:07:23
223,anadyr,64.75,177.4833,9.104000000000052,84,100,0.0,RU,2023-04-22 13:07:44
224,celestun,20.8667,-90.4,84.83000000000004,63,25,3.9,MX,2023-04-22 13:07:44
225,ilulissat,69.2167,-51.1,32.018000000000086,74,75,1.03,GL,2023-04-22 13:07:45
226,guerrero negro,27.9769,-114.0611,72.78800000000004,42,0,5.59,MX,2023-04-22 13:07:45
227,siracusa,37.0881,15.2792,60.17000000000006,74,5,1.74,IT,2023-04-22 13:07:45
228,fale old settlement,-9.3852,-171.2468,83.82200000000003,75,55,4.7,TK,2023-04-22 13:07:36
229,sena madureira,-9.0656,-68.6569,91.67000000000007,48,90,0.3,BR,2023-04-22 13:07:46
230,jieshi,22.8134,115.8257,71.61800000000008,90,100,6.23,CN,2023-04-22 13:07:46
231,hobyo,5.3505,48.5268,83.642,75,97,5.52,SO,2023-04-22 13:07:47
232,vila franca do campo,37.7167,-25.4333,63.01400000000004,89,52,6.41,PT,2023-04-22 13:07:47
233,hit,33.6416,42.8251,78.20600000000003,23,96,2.92,IQ,2023-04-22 13:07:47
234,formosa,-26.1775,-58.1781,84.18200000000002,42,20,1.03,AR,2023-04-22 13:07:47
